"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Bench Press","","","0","warmup","40","10","","",""
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Bench Press","","","1","normal","100","5","","","8"
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Bench Press","","","2","failure","105","3","","","9.5"
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Bench Press","","","3","dropset","90","6","","",""
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Incline Dumbbell Press","1","Slow eccentric","0","normal","30","10","","",""
"Push Day","3 Jan 2026, 08:15","3 Jan 2026, 09:05","Felt strong today","Cable Fly","1","","0","normal","15","15","","",""
"Cardio","3 Jan 2026, 18:30","3 Jan 2026, 19:00","","Treadmill Run","","","0","normal","","","5","1800",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","Weighted Situp","","","0","normal","10","15","","",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","Air Squat","","","0","normal","","20","","",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","Plank Hold","","","0","normal","","","","60",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","Wall Sit","","","0","normal","20","","","45",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","River Run","","","0","normal","","","2","600",""
"Mixed Day","4 Jan 2026, 07:00","4 Jan 2026, 07:45","","Sled Push","","","0","normal","40","","0.02","",""
"Quirky Day","5 Jan 2026, 06:30","5 Jan 2026, 07:00","","Bench Press","","","0","circuit","60","8","","","9.2"
"Broken Entry","","6 Jan 2026, 08:30","","Bench Press","","","0","normal","50","5","","",""
